epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,677.656,1.87477,11.54,0.47495,0,0,0,0,0.00775,2.65182,0.00258,0.000654321,0.000654321,0.000654321
2,1371.48,1.5563,2.66177,0.36888,0,0,0,0,0,592449,0,0.00131294,0.00131294,0.00131294
3,1899.34,2.65618,2.86044,0.56811,0,0,0,0,0,0,0,0.0019395,0.0019395,0.0019395
4,2440.15,2.8678,2.36176,0.57613,0,0,0,0,0,0,0,0.0018921,0.0018921,0.0018921
5,2934.49,3.53301,3.11558,0.73699,0,0,0,0,0,643.562,0,0.00181093,0.00181093,0.00181093
6,3458.57,3.63589,2.97531,0.83377,0,0,0,0,0,1.96702,0,0.00171004,0.00171004,0.00171004
7,3935.59,3.34194,2.80459,0.745,0,0,0,0,0,260.148,0,0.00159191,0.00159191,0.00159191
8,4415.09,3.50703,2.65611,0.76187,0,0,0,0,0,4.42311,0,0.00145945,0.00145945,0.00145945
9,4885.65,3.99534,3.06548,0.85398,0.02128,0.0396,0.02046,0.00266,2.70025,1.7061,0.49172,0.00131593,0.00131593,0.00131593
10,5386.97,3.94014,2.99338,0.84234,0.07886,0.0198,0.01089,0.00199,3.25513,1.80472,0.64304,0.00116487,0.00116487,0.00116487
11,5901.33,3.408,2.27085,0.74719,0.00332,0.0198,0.00181,0.00027,3.28023,2.34064,0.63906,0.00101,0.00101,0.00101
12,6418.2,2.97897,1.75121,0.70409,0.00694,0.0099,0.00115,0.00012,3.40668,2.15571,0.64055,0.00085513,0.00085513,0.00085513
13,7081.57,3.22852,2.12197,0.75912,0.01685,0.0297,0.00967,0.00187,3.37532,2.06351,0.65048,0.000704073,0.000704073,0.000704073
14,7894.44,3.21094,2.20915,0.77224,0.0532,0.0297,0.00646,0.00162,3.24342,2.33299,0.63662,0.000560549,0.000560549,0.000560549
15,8523.1,2.98839,1.96433,0.71681,0.07059,0.0297,0.00792,0.00213,2.99311,1.89868,0.56867,0.000428093,0.000428093,0.000428093
16,9135.13,3.09578,1.89803,0.75471,0.01849,0.02854,0.00465,0.0011,2.79899,101.812,0.52792,0.000309964,0.000309964,0.000309964
17,9709.18,3.07234,1.71443,0.72549,0.02011,0.0198,0.00387,0.00085,2.73324,89.4512,0.51072,0.000209073,0.000209073,0.000209073
18,10431.6,3.16694,1.76889,0.80959,0.14344,0.0495,0.01671,0.00266,2.87006,19.3548,0.56572,0.000127904,0.000127904,0.000127904
19,11056.7,3.00475,1.72797,0.78531,0.11365,0.07921,0.02527,0.00446,2.85069,7.75925,0.59304,6.8454e-05,6.8454e-05,6.8454e-05
20,11663.4,3.045,1.83382,0.76082,0.1544,0.05941,0.02517,0.00462,2.99768,4.88321,0.62824,3.21885e-05,3.21885e-05,3.21885e-05
