epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.52,0.85756,11.7696,0.21084,7e-05,0.0198,0.00023,8e-05,1.12981,13.495,0.25004,0.000660436,0.000660436,0.000660436
2,263.922,1.57542,9.77974,0.32378,7e-05,0.0198,0.00023,8e-05,1.11654,11.2252,0.18595,0.00126141,0.00126141,0.00126141
3,379.279,1.78969,8.48502,0.39874,7e-05,0.0198,0.00023,8e-05,1.78245,9.44787,0.31702,0.00179639,0.00179639,0.00179639
4,502.596,2.07086,7.53669,0.44853,0.05916,0.0297,0.006,0.00099,1.98963,8.06928,0.38869,0.001703,0.001703,0.001703
5,638.771,2.08905,6.60528,0.44325,0.075,0.0297,0.00289,0.0003,2.02812,7.05942,0.38214,0.001604,0.001604,0.001604
6,726.293,2.22908,5.90384,0.48778,0.23475,0.0495,0.02058,0.00239,1.64718,6.07808,0.36039,0.001505,0.001505,0.001505
7,808.874,1.84539,4.98585,0.43082,0.12694,0.0198,0.01248,0.00265,2.00697,5.80242,0.4191,0.001406,0.001406,0.001406
8,893.362,1.99124,4.56528,0.48109,0.14897,0.0396,0.02153,0.00444,1.89906,4.79671,0.41878,0.001307,0.001307,0.001307
9,977.093,2.12056,4.29517,0.48062,0.20968,0.05941,0.04833,0.0079,1.74867,4.65192,0.42421,0.001208,0.001208,0.001208
10,1061.27,2.12859,4.07982,0.49381,0.35952,0.09901,0.05286,0.00922,1.75236,4.11703,0.39905,0.001109,0.001109,0.001109
11,1142.35,1.76912,3.60971,0.43578,0.14953,0.0396,0.01856,0.00426,1.93465,3.93049,0.40529,0.00101,0.00101,0.00101
12,1220.3,1.7776,3.35961,0.47695,0.14407,0.07921,0.02013,0.00415,1.91183,3.97889,0.41178,0.000911,0.000911,0.000911
13,1320.97,1.7649,3.23865,0.4327,0.19381,0.07921,0.02828,0.00827,2.03301,3.95145,0.45338,0.000812,0.000812,0.000812
14,1439.79,2.03276,3.21416,0.48612,0.26773,0.09901,0.0842,0.01799,1.92294,3.75233,0.45586,0.000713,0.000713,0.000713
15,1554.27,1.87876,2.98256,0.48775,0.22358,0.08911,0.05269,0.0125,1.94754,3.35685,0.42777,0.000614,0.000614,0.000614
16,1671.35,1.71321,2.85704,0.45474,0.32841,0.08911,0.06257,0.01002,1.89999,3.36161,0.41883,0.000515,0.000515,0.000515
17,1784.36,1.7619,2.70969,0.46448,0.28541,0.07921,0.05915,0.01439,1.87598,3.14082,0.42752,0.000416,0.000416,0.000416
18,1900.53,1.83952,2.74169,0.45206,0.37329,0.13861,0.11742,0.02319,1.85615,3.10298,0.44582,0.000317,0.000317,0.000317
19,1992.11,1.73789,2.61415,0.4823,0.38465,0.13861,0.10021,0.02406,1.78168,3.06362,0.44422,0.000218,0.000218,0.000218
20,2079.35,2.03512,2.66327,0.53851,0.4005,0.17822,0.13859,0.03036,1.80422,3.0615,0.44097,0.000119,0.000119,0.000119
